Analyzing Dealership Promotions for CKG Auto,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Manufacturer's Expected Quarterly Sales Volume &,,,,,,,,,Sales Estimate Quality,,Overall Sales Vol,,Best in class,,
,,Per-Vehicle Shipping Rebates for Exceeding Sales Volume Estimates,,,,,,,,,actual sales vs expected,,% Over,Bonus for,Bonus,,
Big-wig Dealer,,,,,,Q1,Q2,Q3,Q4,Annual,#,@,Expected,Exceeding,#,,
Threshold,,,,, Expected Sales Volume ,300,425,410,320,?,#,@,#,#,,,
#,,,,, Shipping Rebate per Vehicle,75,109,88,122,,#,@,#,#,,,
,,,,,,,,,,,,,,,,,
Sales Volumes,,,,,,Shipping Rebates for Exceeding Estimates,,,,,,,,,,,
Dealer#,Q1,Q2,Q3,Q4,Annual Sales Volume,Q1,Q2,Q3,Q4,Annual Shipping Rebate,% Difference (actual vs expected), Sales Estimate Quality ,Overall Sales Vol Bonus,"""Best in class"" Bonus",Received No Incentivies,Received At Least One Incentive,Received Only Shipping Rebate
2339,362,486,426,315,?,?,?,?,?,?,?,?,?,?,?,?,?
2325,325,414,372,243,?,?,?,?,?,?,?,?,?,?,?,?,?
2360,284,119,262,217,?,?,?,?,?,?,?,?,?,?,?,?,?
2358,321,329,294,144,?,?,?,?,?,?,?,?,?,?,?,?,?
2374,525,226,234,211,?,?,?,?,?,?,?,?,?,?,?,?,?
2390,311,501,489,504,?,?,?,?,?,?,?,?,?,?,?,?,?
2352,368,212,102,365,?,?,?,?,?,?,?,?,?,?,?,?,?
2345,202,394,201,417,?,?,?,?,?,?,?,?,?,?,?,?,?
2369,183,280,454,510,?,?,?,?,?,?,?,?,?,?,?,?,?
2356,489,244,227,390,?,?,?,?,?,?,?,?,?,?,?,?,?
2397,270,339,270,313,?,?,?,?,?,?,?,?,?,?,?,?,?
,,,,,,,,,,,,,,,,,
  Totals,?,?,?,?,?,?,?,?,?,?,,,?,?,# of values which are,,
,,,,,Average Value of Actual Bonuses Received,?,?,?,?,?,,,?,?,TRUE,,
,,,,,Number of Dealerhips Receiving Rebate or Bonus,?,?,?,?,?,,,?,?,?,?,?
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,?,?,?
,,,,,,,,,,,,,,All of the dealers,?,?,?
,,,,,,,,,,,,,,Any of the dealers,?,?,?
,,,,,,,,,,,,,,None of the dealers,?,?,?
